id,question,Option_A,Option_B,Option_C,Option_D,Answer
735,What is the name of the nearest galaxy to the Milky Way?,Triangulum Galaxy,Pinwheel Galaxy,Andromeda Galaxy,Large Magellanic Cloud,C
736,What is the name for a computer program that replicates itself?,Trojan,Worm,Spyware,Ransomware,B
737,What is the most popular sport in the world?,Basketball,Cricket,American Football,Soccer/Football,D
738,What is the name of the study of insects?,Zoology,Botany,Entomology,Herpetology,C
739,What is the name of the largest rainforest in the world?,Congo Rainforest,Amazon Rainforest,Southeast Asian Rainforest,Daintree Rainforest,B
740,What type of energy comes from the sun?,Nuclear energy,Geothermal energy,Solar energy,Wind energy,C
741,What is 'latency' in networking?,The speed of data transfer,The delay in data transfer,The amount of data transferred,The security of the connection,B
742,What is the name of the most popular open source operating system?,Windows,macOS,UNIX,Linux,D
743,What is the capital of Honduras?,San Pedro Sula,La Ceiba,Tegucigalpa,Choloma,C
744,What is the capital of Kazakhstan?,Almaty,Astana,Shymkent,Karaganda,B
745,What is the name of the body part that produces insulin?,Liver,Kidneys,Stomach,Pancreas,D
746,What is the capital of Colombia?,Medellín,Cali,Barranquilla,Bogotá,D
747,What is the name of the change from solid directly to gas?,Evaporation,Sublimation,Condensation,Deposition,B
748,Who established the Nobel Prize?,Alfred Nobel,Dynamite Nobel,Carl Nobel,Ludwig Nobel,A
749,What is the name of the study of reptiles and amphibians?,Ornithology,Ichthyology,Herpetology,Entomology,C
750,What do you call a humorous 5-line poem?,Haiku,Ode,Sonnet,Limerick,D
751,What is Mario's brother's name in Nintendo games?,Wario,Luigi,Waluigi,Toad,B
752,How many days are in a leap year?,365,366,367,364,B
753,What programming language is known for its use of '#include'?,Python,Java,JavaScript,C++,D
754,What is a baby goat called?,Lamb,Calf,Kid,Foal,C
755,What does 'VR' stand for?,Virtual Reality,Visual Reality,Verified Reality,Variable Reality,A
756,What is the name for a play written to be performed?,Novel,Screenplay,Drama/Play,Script,C
757,What does 'ASAP' stand for?,As Soon As Planned,As Simple As Possible,As Soon As Possible,As Safe As Possible,C
758,What is the capital of Thailand?,Chiang Mai,Phuket,Bangkok,Pattaya,C
759,What HTML tag is used to display an image?,<img>,<pic>,<image>,<photo>,A
760,What is the name of the Roman goddess of love?,Minerva,Juno,Diana,Venus,D
761,What is the name for the annual movement of animals from one place to another?,Hibernation,Migration,Evolution,Adaptation,B
762,What is a baby duck called?,Chick,Cygnet,Gosling,Duckling,D
763,What does 'merci' mean in French?,Hello,Goodbye,Please,Thank you,D
764,What family of instruments does a drum belong to?,String,Woodwind,Brass,Percussion,D
765,What is the main ingredient in a margarita?,Vodka,Rum,Tequila,Gin,C
766,What color do you get when you mix red and yellow?,Purple,Orange,Green,Brown,B
767,What is the name for the first sentence of an essay designed to grab attention?,Thesis,Topic sentence,Hook,Introduction,C
768,What is the capital of Zimbabwe?,Bulawayo,Mutare,Gweru,Harare,D
769,What is the capital of Cuba?,Santiago de Cuba,Havana,Holguín,Camagüey,B
770,What does 'GB' stand for?,Gigabits,Gigabytes,Giga Bandwidth,Gigablocks,B
771,In which year did the Berlin Wall fall?,1987,1991,1989,1993,C
772,What is the symbol for carbon dioxide?,C2O,CO,CO2,C2O2,C
773,What is the name of the data structure that follows First In First Out?,Stack,Queue,Linked List,Tree,B
774,What country did pizza originate from?,Greece,Spain,France,Italy,D
775,What is a 'cache' in computing?,A type of virus,Temporary storage to speed up processes,Encrypted storage,Permanent storage,B
776,What is the currency of Australia?,New Zealand Dollar,Australian Dollar,Pound,Pacific Dollar,B
777,What is the deepest ocean trench on Earth?,Puerto Rico Trench,Mariana Trench,Tonga Trench,Philippine Trench,B
778,What does 'gracias' mean in Spanish?,Hello,Goodbye,Please,Thank you,D
779,What is the national animal of China?,Tiger,Golden Snub-nosed Monkey,Giant Panda,Red Panda,C
780,What is the national bird of the United States?,Eagle (Bald Eagle),Hawk,Falcon,Condor,A
781,What does 'narrator' mean?,The author,The main character,The person telling the story,The villain,C
782,What is the currency of Russia?,Koruna,Hryvnia,Forint,Ruble,D
783,What is the name for planting trees to restore forests?,Reforestation,Afforestation,Both A and B are acceptable,Silviculture,C
784,What is the largest continent?,Asia,Africa,Europe,America,A
785,What country is Chichen Itza located in?,Guatemala,Belize,Peru,Mexico,D
786,What is the name of the book that contains all words in a language with their meanings?,Thesaurus,Glossary,Lexicon,Dictionary,D
787,What is the file extension for HTML files?,.htm or .html,.web,.page,.hypertext,A
788,What does 'WAN' stand for?,Wide Area Network,Wireless Area Network,Wide Access Network,Wireless Access Network,A
789,What year was YouTube founded?,2006,2004,2007,2005,D
790,What is the name of the most prestigious literary award?,Booker Prize,Hugo Award,Pulitzer Prize,Nobel Prize in Literature,D
791,What does 'konnichiwa' mean in Japanese?,Good morning,Good evening,Hello/Good afternoon,Goodbye,C
792,What is the most translated book in the world?,Harry Potter,The Quran,The Bible,Don Quixote,C
793,What is the capital of Ecuador?,Guayaquil,Cuenca,Quito,Manta,C
794,What is the capital of Sweden?,Gothenburg,Malmö,Uppsala,Stockholm,D
795,What is the name of the trophy given to the winner of the Super Bowl?,Lombardi Trophy,Vince Trophy,Championship Trophy,Commissioner's Trophy,A
796,How many zeros are in one thousand?,2,3,4,5,B
797,What is the capital of Kosovo?,Prizren,Peja,Gjakova,Pristina,D
798,What is the color of the Incredible Hulk?,Blue,Yellow,Green,Red,C
799,What is the name for the spacing between individual letters?,Leading,Tracking,Kerning,Gutter,C
800,What does 'bonjour' mean in French?,Goodbye,Good evening,Thank you,Good day/Hello,D
801,What is the name for the spacing between lines of text?,Kerning,Tracking,Leading,Gutter,C
802,In what year did humans first land on the moon?,1965,1967,1971,1969,D
803,What is the name of the change from liquid to solid?,Melting,Evaporation,Condensation,Freezing,D
804,What is '4K' resolution also known as?,Full HD,Ultra HD,Super HD,Quad HD,B
805,What is the name of the field where baseball is played?,Court,Diamond or ballpark,Gridiron,Pitch,B
806,How many Nobel Prize categories are there?,4,5,6,7,C
807,What country is the Taj Mahal located in?,Pakistan,Bangladesh,Nepal,India,D
808,What does 'KB' stand for in file sizes?,Kilobytes,Kilobits,Kilobiads,Kiloblocks,A
809,What is the approximate population of the world?,6 billion,7 billion,Around 8 billion,10 billion,C
810,What is the capital of Iraq?,Basra,Mosul,Erbil,Baghdad,D
811,What does 'SQL' stand for?,Structured Query Language,Standard Query Language,Simplified Query Language,System Query Language,A
812,What does 'arigatou' mean in Japanese?,Hello,Goodbye,Please,Thank you,D
813,How long is a standard marathon?,26.2 miles,20 miles,30 km,25 miles,A
814,What is the capital of Egypt?,Alexandria,Cairo,Luxor,Giza,B
815,What is a haiku?,A type of novel,A Spanish poem,A Japanese short poem,A type of song,C
816,Who was the first person to walk on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,C
817,What is the name of the force that causes objects to fall?,Magnetic force,Friction,Gravity,Normal force,C
818,What is the capital of Cameroon?,Douala,Garoua,Maroua,Yaoundé,D
819,What is a monotreme?,A mammal with one horn,A mammal that lays eggs,A mammal with a single tooth,A mammal with one claw,B
820,What type of food is sushi?,Chinese,Korean,Japanese,Thai,C
821,In which year did the Titanic sink?,1910,1914,1908,1912,D
822,What family of instruments does a violin belong to?,Woodwind,Brass,Percussion,String,D
823,What company makes Photoshop?,Microsoft,Apple,Adobe,Corel,C
824,How many hours are in a day?,12,20,24,36,C
825,What is the name of the highest plateau in the world?,Colorado Plateau,Tibetan Plateau,Deccan Plateau,Iranian Plateau,B
826,What is the process by which plants make food?,Respiration,Digestion,Photosynthesis,Fermentation,C
827,What does the prefix 'uni-' mean?,One,Two,Three,Many,A
828,What is a flashback?,Hinting at future events,Describing settings,A scene from the future,A scene from an earlier time inserted into the narrative,D
829,What nut is used to make marzipan?,Hazelnuts,Cashews,Walnuts,Almonds,D
830,What is a group of geese called?,Pride,Pack,Gaggle,Flock,C
831,What is the square root of 16?,3,4,5,6,B
832,What sound does a cat make?,Woof,Moo,Meow,Oink,C
833,What is the name of the pet dinosaur in 'The Flintstones'?,Rex,Barney,Dino,Rocky,C
834,How many years are in a millennium?,100,500,2000,1000,D
835,What does the prefix 'bi-' mean?,One,Three,Two,Four,C
836,What is the name of the writing style that records personal experiences in date order?,Blog,Essay,Diary/Journal,Report,C
837,What does 'namaste' mean in Hindi?,A greeting of respect,Thank you,Goodbye,Please,A
838,What is the name of the Norse god of mischief?,Thor,Odin,Freyr,Loki,D
839,What is the name of the scale used to measure earthquake magnitude?,Beaufort scale,Richter scale,Fujita scale,Saffir-Simpson scale,B
840,What planet is known as the Red Planet?,Jupiter,Venus,Saturn,Mars,D
841,What is the capital of Kuwait?,Salmiya,Hawalli,Kuwait City,Jahra,C
842,What is the currency of the United States?,Pound,Euro,Yen,Dollar,D
843,What is the most popular video streaming platform?,Twitch,Vimeo,Dailymotion,YouTube,D
844,What is a quarter of 100?,20,30,40,25,D
845,What is personification?,Comparison using 'like',Exaggeration,Attributing human qualities to non-human things,Play on words,C
846,What is the square root of 9?,2,3,4,6,B
847,What type of poem does not rhyme?,Sonnet,Haiku,Limerick,Free verse,D
848,What is the capital of the Czech Republic?,Brno,Plzeň,Ostrava,Prague,D
849,What is the name of the most famous sans-serif font?,Times New Roman,Georgia,Helvetica or Arial,Comic Sans,C
850,What is the symbol for water in chemistry?,HO,H2O,H2O2,OH,B
851,What is the name of the field where American football is played?,Pitch,Court,Gridiron,Diamond,C
852,What does 'CMYK' stand for?,Cyan Magenta Yellow Black,Color Matching Yellow Key,Cyan Magenta Yellow Key,Color Mode Yellow Black,C
853,What does 'vertebrate' mean?,Has no backbone,Has a backbone,Has an exoskeleton,Has multiple spines,B
854,What is the capital of Guatemala?,Quetzaltenango,Mixco,Villa Nueva,Guatemala City,D
855,What two colors make orange?,Red and blue,Red and yellow,Yellow and blue,Green and red,B
856,What is a synonym for 'happy'?,Sad,Angry,Joyful,Tired,C
857,What is the capital of Nigeria?,Lagos,Abuja,Kano,Port Harcourt,B
858,What is the file extension for CSS files?,.style,.sheet,.cs,.css,D
859,What does 'RSVP' stand for in French?,Respond if you please,Respond as soon as possible,Repondez s'il vous plaît,Reply soon very promptly,C
860,What is recycling?,Throwing away waste,Burning waste for energy,Processing used materials into new products,Burying waste underground,C
861,What is the name of the fairy tale character who left a glass slipper?,Sleeping Beauty,Snow White,Rapunzel,Cinderella,D
862,What is the name of the study of numbers?,Algebra,Geometry,Mathematics,Arithmetic,C
863,What is the name of the process of designing products with the user's needs in mind?,User Interface Design,User Testing,Human-Centered Design,Graphic Design,C
864,What is the currency of China?,Yen,Yuan,Won,Baht,B
865,How many stars are on the American flag?,48,49,52,50,D
866,What is the name of the clownfish in 'Finding Nemo'?,Dory,Marlin,Nemo,Gill,C
867,What is the name for animals that lay eggs?,Viviparous,Oviparous,Ovoviviparous,Placental,B
868,In which country was the first Olympic Games held in ancient times?,Italy,Turkey,Egypt,Greece,D
869,What does 'GHz' stand for?,Gigabytes per Hour,Gigahertz,Giga High Zoom,Gigabyte Hard Zone,B
870,What is the capital of Denmark?,Aarhus,Odense,Aalborg,Copenhagen,D
871,What do carnivores eat?,Only plants,Only meat,Both plants and meat,Only fish,B
872,What is the name of the family in 'The Flintstones'?,Rubble,Flintstone,Slate,Pebble,B
873,What is the name for the variety of life on Earth?,Ecology,Evolution,Biodiversity,Taxonomy,C
874,What is the name of the change from gas to liquid?,Evaporation,Freezing,Melting,Condensation,D
875,What is the capital of Kenya?,Mombasa,Kisumu,Nairobi,Nakuru,C
876,What is the name for extra material at the end of a book?,Preface,Prologue,Epilogue,Appendix,D
877,What is the most common language spoken in the world overall?,Spanish,Hindi,Mandarin Chinese,English,D
878,What type of animal is a penguin?,Mammal,Reptile,Bird,Fish,C
879,What is the name of the main program file in many languages?,Start file,Main file,Entry point,Index,C
880,How does the knight move in chess?,In a straight line,Diagonally only,In an L-shape,In any direction one square,C
881,What is the name of the famous painting of a woman by Vermeer?,Lady with an Ermine,Girl with a Pearl Earring,Portrait of Adele,The Birth of Venus,B
882,What is a group of bees called?,Colony,Pack,Swarm,Hive,C
883,What is the capital of Israel?,Tel Aviv,Haifa,Jerusalem,Beer Sheva,C
884,What is 'two-factor authentication'?,Using two passwords,Verifying identity using two different methods,Logging in twice,Using two devices,B
885,What is the name of the process of finding and fixing errors in code?,Programming,Compiling,Executing,Debugging,D
886,What is the name for the text of an opera?,Script,Screenplay,Drama,Libretto,D
887,What symbol is commonly used for comments in JavaScript?,##,#,<!--,//,D
888,What country is home to the Tour de France?,Belgium,Italy,Spain,France,D
889,What country won the first FIFA World Cup in 1930?,Brazil,Argentina,Italy,Uruguay,D
890,Who created Mickey Mouse?,Jim Henson,Walt Disney,Chuck Jones,Tex Avery,B
891,What is the name of the most popular version control system?,SVN,Mercurial,Perforce,Git,D
892,What is the name of the princess in 'Frozen'?,Rapunzel,Cinderella,Elsa,Anna,C
893,What is a baby kangaroo called?,Pup,Calf,Joey,Kit,C
894,What is the capital of Lithuania?,Kaunas,Klaipėda,Šiauliai,Vilnius,D
895,What is the symbol for iron on the periodic table?,Ir,In,Fe,Fr,C
896,What country is Machu Picchu located in?,Colombia,Chile,Bolivia,Peru,D
897,What is the capital of Vietnam?,Ho Chi Minh City,Da Nang,Hanoi,Hue,C
898,What is the name of the study of human societies and culture?,Psychology,Sociology,Anthropology,Philosophy,C
899,Who wrote 'Pride and Prejudice'?,Charlotte Brontë,Emily Brontë,George Eliot,Jane Austen,D
900,What is the name for the process of copying data for safety?,Archiving,Mirroring,Compression,Backup,D
901,What is the capital of Morocco?,Casablanca,Marrakesh,Fez,Rabat,D
902,What does 'sayonara' mean in Japanese?,Hello,Thank you,Please,Goodbye,D
903,What is the fear of closed spaces called?,Agoraphobia,Acrophobia,Claustrophobia,Trypophobia,C
904,Who was the first man in space?,Neil Armstrong,John Glenn,Alan Shepard,Yuri Gagarin,D
905,What is the name of the writing system used in Japan for borrowed words?,Kanji,Hiragana,Romaji,Katakana,D
906,What empire was Julius Caesar part of?,Greek,Ottoman,Roman,Persian,C
907,What is a 'boolean' value?,A decimal number,A text string,A list of values,True or False,D
908,What does 'second person' point of view mean in writing?,Written from 'I' perspective,Written from 'you' perspective,Written from 'he/she' perspective,Written from 'we' perspective,B
909,What country is Petra located in?,Saudi Arabia,Israel,Jordan,Egypt,C
910,Who wrote 'Harry Potter'?,Stephenie Meyer,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,D
911,What is the closest planet to the Sun?,Venus,Mercury,Mars,Earth,B
912,What is the capital of Spain?,Barcelona,Seville,Valencia,Madrid,D
913,What does 'nein' mean in German?,Yes,Hello,No,Please,C
914,In which city are the Nobel Prizes awarded (except Peace)?,Geneva,Copenhagen,Oslo,Stockholm,D
915,What do you call a 14-line poem?,Ode,Haiku,Limerick,Sonnet,D
916,What do herbivores eat?,Only meat,Both plants and meat,Only plants,Only insects,C
917,What does 'ML' stand for in technology?,Machine Logic,Multi Learning,Machine Language,Machine Learning,D
918,What does 'blog' originally stand for?,Basic Log,Broad Log,Web Log,Binary Log,C
919,What does 'WWW' stand for?,World Wide Web,Wide World Web,World Web Wide,Web World Wide,A
920,What is the capital of Wales?,Swansea,Cardiff,Newport,Bangor,B
921,What is the name of the famous Greek hero who traveled through many adventures?,Achilles,Odysseus,Hercules,Perseus,B
922,What is the capital of Scotland?,Glasgow,Aberdeen,Edinburgh,Dundee,C
923,What is the term for animals that are active at night?,Diurnal,Crepuscular,Nocturnal,Arboreal,C
924,What is the name of the Roman king of the gods?,Mars,Neptune,Pluto,Jupiter,D
925,What is the file extension for a PNG image?,.jpeg,.gif,.png,.bmp,C
926,What is the capital of Armenia?,Gyumri,Vanadzor,Abovyan,Yerevan,D
927,What does 'ROI' stand for in business?,Return on Investment,Rate of Interest,Return of Income,Rate on Investment,A
928,What is the name of the hole in the ozone layer above?,Antarctica,Arctic,Sahara,Amazon,A
929,What is the decimal number system based on?,Base 2,Base 8,Base 10,Base 16,C
930,What is a baby bear called?,Pup,Cub,Calf,Kit,B
931,What social media platform uses a blue bird as its logo (original)?,Facebook,Instagram,Twitter,LinkedIn,C
932,What does 'HR' stand for in a company context?,Human Resources,Human Relations,Human Rights,Hiring Resources,A
933,What is the capital of Ivory Coast?,Abidjan,Bouaké,Yamoussoukro,San-Pédro,C
934,What do you call the list of chapters at the beginning of a book?,Index,Glossary,Table of Contents,Bibliography,C
935,What season comes after winter?,Autumn,Summer,Spring,"None, it cycles",C
936,What is the symbol for oxygen gas?,O,O3,O2,2O,C
937,What is the name of the concluding part of a story?,Climax,Rising action,Exposition,Denouement/Resolution,D
938,How many fingers does a human have on both hands?,8,9,10,12,C
939,What is the name for a company's official symbol or design?,Copyright,Brand,Logo,Trademark,C
940,How many letters are in the Hebrew alphabet?,20,22,24,26,B
941,What is the capital of Ethiopia?,Dire Dawa,Gondar,Addis Ababa,Mekelle,C
942,What is the capital of Libya?,Benghazi,Misrata,Tripoli,Tobruk,C
943,What is the only continent with no native snakes?,Greenland,Iceland,Australia,Antarctica,D
944,What CSS property changes the background color?,bg-color,background,background-color,back-color,C
945,What is the surface of the US Open tennis tournament?,Grass,Clay,Hard court,Carpet,C
946,What is the theme of a story?,The main characters,The setting,The plot summary,The central message or idea,D
947,In which year was the first iPhone released?,2005,2008,2006,2007,D
948,What instrument is used to measure wind speed?,Barometer,Anemometer,Thermometer,Hygrometer,B
949,What is the capital of Azerbaijan?,Ganja,Sumgayit,Lankaran,Baku,D
950,What does 'podcast' originally stand for?,Public On Demand Cast,iPod + broadcast,Portable On Demand Casting,Personal On Demand Content,B
951,What is the name of the Greek god of the sea?,Zeus,Hades,Apollo,Poseidon,D
952,What country is Angkor Wat located in?,Vietnam,Thailand,Laos,Cambodia,D
953,What is the file extension for an Excel file?,.excl,.xls or .xlsx,.sprsh,.calc,B
954,In which fictional city does Batman live?,Metropolis,Star City,Central City,Gotham City,D
955,What is the charge of an electron?,Positive,Negative,No charge,Variable,B
956,What is the name of the boy who never grows up in J.M. Barrie's story?,Pinocchio,Peter Pan,Tom Sawyer,Oliver Twist,B
957,What is the name of the award for the best player in the FIFA World Cup?,Golden Boot,Golden Glove,Ballon d'Or,Golden Ball,D
958,What is the term for animals that live in water?,Terrestrial,Arboreal,Fossorial,Aquatic,D
959,Who wrote '1984'?,Aldous Huxley,Ray Bradbury,George Orwell,H.G. Wells,C
960,What is the name for the main idea of a paragraph?,Topic sentence,Thesis statement,Summary,Conclusion,A
961,What is the world's largest fish?,Great White Shark,Whale Shark,Basking Shark,Manta Ray,B
962,What is the symbol for lead on the periodic table?,Le,Pb,Ld,La,B
963,What is the name of the Indian monument built as a mausoleum?,The Red Fort,The Taj Mahal,The Qutub Minar,Humayun's Tomb,B
964,What does 'MB' stand for?,Megabits,Metabytes,Megabytes,Metabits,C
965,What is Superman's weakness?,Gold,Silver,Kryptonite,Water,C
966,How many bits are in a byte?,4,8,16,32,B
967,What is the capital of Ghana?,Kumasi,Tamale,Cape Coast,Accra,D
968,What is the capital of the Philippines?,Cebu,Davao,Manila,Quezon City,C
969,What does 'MP' stand for in camera resolution?,Mega Pictures,Macro Pixels,Mega Pixels,Multi Pictures,C
970,What color do you get when you mix blue and yellow?,Purple,Brown,Orange,Green,D
971,What does 'MHz' stand for?,Mega High Zoom,Megabytes per Hour,Megahertz,Multi High Zoom,C
972,What is the name of the colored part of the eye?,Pupil,Retina,Cornea,Iris,D
973,What is the capital of Turkey?,Istanbul,Izmir,Ankara,Bursa,C
974,What is the file extension for a PDF?,.doc,.pdf,.pfd,.pf,B
975,How many zeros are in one billion?,7,8,9,10,C
976,What is the main ingredient in guacamole?,Tomato,Avocado,Lime,Onion,B
977,What does 'UX' stand for in design?,User Xperience,User Experience,User Extension,User Exploration,B
978,What does 'ad hoc' mean?,Planned,For this specific purpose,General,Repeated,B
979,What is the name of the speed at which data is transferred over the internet?,Bandwidth,Latency,Ping,Resolution,A
980,What is the name of the punctuation mark '!'?,Period,Question mark,Exclamation point,Apostrophe,C
981,What language is spoken in Brazil?,Spanish,French,Portuguese,English,C
982,What continent is Egypt in?,Asia,Europe,Africa,Middle East,C
983,What is hyperbole?,Understatement,Exaggeration for effect,A comparison,A play on words,B
984,What is the name of Cinderella's prince?,Prince Eric,Prince Phillip,Prince Adam,Prince Charming,D
985,What year was Twitter founded?,2007,2005,2008,2006,D
986,What is the name of the physical connection that provides the fastest internet?,Wi-Fi,Satellite,Bluetooth,Ethernet/Fiber,D
987,What does 'invertebrate' mean?,Has a backbone,Has a partial backbone,Has an exoskeleton,Has no backbone,D
988,How many players are on a team in American football on the field?,10,9,12,11,D
989,What instrument does a pianist play?,Violin,Cello,Piano,Harp,C
990,What is the Roman numeral for 5?,I,X,IV,V,D
991,What is the capital of Mexico?,Guadalajara,Monterrey,Mexico City,Puebla,C
992,What is a young cow called?,Foal,Calf,Lamb,Piglet,B
993,"In cricket, how many balls are in an over?",4,5,6,8,C
994,What is the name of the color model used for screens?,CMYK,HSL,Pantone,RGB,D
995,What does 'allegro' mean in music tempo?,Slow,Medium,Very slow,Fast,D
996,What is the name of the study of languages?,Sociology,Linguistics,Philology,Etymology,B
997,What country is the Kremlin located in?,Ukraine,Belarus,Poland,Russia,D
998,What does 'DIY' stand for?,Do It Yourself,Do It Yesterday,Design It Yourself,Done In a Year,A
999,What type of animal is a snake?,Amphibian,Mammal,Reptile,Insect,C
1000,What is the charge of a neutron?,Positive,Negative,No charge,Variable,C
